T:1.1.5.;T:1.2.9.;T:1.2.10.;VPL:1.2.11.;VPL:1.2.12.;VPL:1.2.13.;T:1.3.11.;T:1.3.12.;VPL:1.3.13.;VPL:1.3.14.;VPL:1.3.15.;VPL:1.3.16.;T:1.4.11.;T:1.4.12.;VPL:1.4.13.;VPL:1.4.14.;VPL:1.4.15.;sumball;label
2.15;4.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;0.0;3.0;0.0;4.5;1.92;0.0;0.0;0.0;45.5;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.9;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;2.0;0.0;0.0;4.5;2.92;0.0;0.0;0.0;41.5;0
1.63;4.0;3.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;41.5;0
1.38;4.5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;3.25;2.88;0.0;0.0;0.0;53.25;1
2.55;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.75;3.08;3.0;3.0;3.0;69.42999999999999;1
2.7;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.75;3.25;3.0;3.0;3.0;72.0;1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;2.5;0.0;0.0;0.0;0.0;0
1.9;4.5;3.5;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;3.0;1.21;0.0;0.0;0.0;19.0;0
1.61;5.0;5.0;0.0;0.0;0.0;4.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.5;0
2.7;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.38;3.0;3.0;3.0;81.03;1
2.68;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;4.0;2.54;3.0;0.0;0.0;49.0;0
1.53;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;2.0;0.0;0.0;4.88;2.73;0.0;0.0;0.0;51.88;1
1.09;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0
2.1;5.0;5.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;2.5;2.48;0.0;0.0;0.0;18.0;0
2.75;5.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.58;2.83;3.0;0.0;3.0;57.58;1
2.76;5.0;4.5;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.5;3.17;3.0;3.0;3.0;94.97;1
2.43;5.0;5.0;0.0;0.0;0.0;3.5;5.0;0.0;0.0;0.0;0.0;4.0;2.42;0.0;0.0;0.0;22.5;0
1.65;2.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0
2.45;2.5;5.0;5.0;5.0;5.0;2.0;0.0;5.0;2.0;3.0;3.0;2.5;2.42;3.0;0.0;3.0;39.0;0
3.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;5.0;3.5;0.0;0.0;0.0;60.0;1
2.63;5.0;5.0;5.0;4.0;5.0;3.5;5.0;5.0;2.0;0.0;0.0;3.5;2.7;3.0;3.0;3.0;52.0;1
2.5;4.5;5.0;5.0;4.0;5.0;4.5;5.0;5.0;1.0;3.0;3.0;3.88;3.0;3.0;3.0;3.0;68.88;1
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;0.0;4.83;3.21;0.0;0.0;0.0;58.04;1
2.13;4.5;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;0
2.78;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;5.0;3.5;3.0;0.0;0.0;53.5;1
0.98;3.0;5.0;5.0;0.0;0.0;4.5;4.5;0.0;0.0;0.0;0.0;3.75;1.33;0.0;0.0;0.0;25.75;0
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;4.88;3.33;3.0;3.0;0.0;65.71000000000001;1
2.93;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;0.0;4.5;3.5;3.0;3.0;0.0;71.8;1
2.78;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;2.83;0.0;0.0;3.0;56.0;1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0
2.45;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;2.0;0.0;4.08;3.08;3.0;0.0;0.0;55.66;1
1.93;3.5;5.0;5.0;3.0;3.0;3.0;5.0;5.0;0.0;0.0;0.0;3.75;3.5;0.0;0.0;0.0;39.75;0
1.51;5.0;5.0;5.0;5.0;5.0;4.0;3.5;5.0;2.0;3.0;3.0;4.5;3.25;3.0;0.0;3.0;74.92;1
2.15;5.0;5.0;5.0;5.0;5.0;4.5;4.5;5.0;2.0;0.0;0.0;4.5;3.33;0.0;0.0;0.0;48.83;0
2.4;2.5;5.0;5.0;5.0;0.0;3.5;5.0;5.0;2.0;3.0;3.0;2.13;1.67;0.0;0.0;0.0;36.5;0
1.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.5;5.0;5.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;4.5;3.17;0.0;0.0;0.0;32.67;0
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.5;3.0;3.0;3.0;87.0;1
2.76;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;3.25;3.5;3.0;0.0;0.0;53.35;1
2.6;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;3.88;2.63;0.0;0.0;0.0;57.550000000000004;1
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0
2.18;4.5;5.0;5.0;5.0;5.0;3.0;4.5;5.0;2.0;0.0;0.0;3.5;1.83;0.0;0.0;0.0;42.5;0
2.5;4.5;5.0;5.0;4.0;5.0;5.0;5.0;5.0;1.0;0.0;0.0;5.0;3.0;0.0;0.0;0.0;46.5;0
2.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.88;3.5;5.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0;0.42;0.0;0.0;0.0;14.5;0
1.91;4.0;5.0;5.0;5.0;0.0;5.0;4.5;0.0;0.0;0.0;0.0;3.25;2.25;3.0;3.0;0.0;62.58;1
2.25;4.0;4.5;0.0;0.0;0.0;4.5;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0
2.2;5.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;48.5;0
1.35;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.6;4.5;5.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;2.13;2.0;0.0;0.0;0.0;22.1;0
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;5.0;3.5;3.0;3.0;0.0;81.3;1
2.43;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0
2.85;5.0;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;4.13;3.17;0.0;0.0;0.0;36.599999999999994;0
3.0;4.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2.0;3.0;3.0;5.0;2.5;3.0;3.0;0.0;60.5;1
2.42;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.13;3.33;3.0;0.0;3.0;69.46000000000001;1
1.66;0.0;0.0;5.0;5.0;5.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0
1.94;5.0;5.0;0.0;0.0;0.0;4.5;5.0;0.0;0.0;0.0;0.0;4.0;2.63;0.0;0.0;0.0;23.5;0
2.23;4.5;5.0;3.0;3.0;5.0;3.5;4.0;5.0;2.0;3.0;0.0;3.75;2.62;0.0;0.0;0.0;46.75;0
2.63;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0
2.93;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0
0.91;4.5;5.0;5.0;5.0;5.0;4.0;4.0;5.0;2.0;0.0;0.0;4.75;2.8;0.0;0.0;0.0;56.93;1
3.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;4.75;3.08;3.0;0.0;0.0;55.33;1
3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0
0.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.93;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;4.5;3.33;0.0;0.0;0.0;52.83;1
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;1.0;0.0;0.0;4.5;3.33;0.0;0.0;0.0;45.83;0
2.53;4.0;4.5;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;19.5;0
2.51;3.5;5.0;5.0;0.0;5.0;3.0;3.5;5.0;2.0;3.0;3.0;2.5;2.83;3.0;0.0;3.0;57.0;1
2.08;5.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2.0;3.0;3.0;4.25;2.67;3.0;3.0;3.0;83.75;1
